time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,209,27,142,10
2025-08-23 00:00:00+00:00,7,2,1,1
2025-08-24 00:00:00+00:00,2,2,2,2
2025-08-25 00:00:00+00:00,46,10,11,5
2025-08-26 00:00:00+00:00,173,34,279,15
2025-08-27 00:00:00+00:00,104,29,202,10
2025-08-28 00:00:00+00:00,271,32,373,14
2025-08-29 00:00:00+00:00,264,35,295,10
2025-08-30 00:00:00+00:00,6,3,9,4
2025-08-31 00:00:00+00:00,13,11,2,2
2025-09-01 00:00:00+00:00,122,11,187,11
2025-09-02 00:00:00+00:00,284,9,173,8
2025-09-03 00:00:00+00:00,352,17,224,19
2025-09-04 00:00:00+00:00,396,19,431,20
2025-09-05 00:00:00+00:00,212,15,408,20
2025-09-06 00:00:00+00:00,11,6,10,2
2025-09-07 00:00:00+00:00,6,6,1,1
2025-09-08 00:00:00+00:00,50,5,117,13
2025-09-09 00:00:00+00:00,246,14,80,17
2025-09-10 00:00:00+00:00,122,22,67,12
2025-09-11 00:00:00+00:00,105,13,164,14
2025-09-12 00:00:00+00:00,65,13,98,9
2025-09-13 00:00:00+00:00,16,13,13,7
2025-09-14 00:00:00+00:00,5,4,80,8
2025-09-15 00:00:00+00:00,265,11,105,14
2025-09-16 00:00:00+00:00,143,44,94,14
2025-09-17 00:00:00+00:00,58,19,97,11
2025-09-18 00:00:00+00:00,165,34,170,12
2025-09-19 00:00:00+00:00,90,27,155,11
2025-09-20 00:00:00+00:00,63,21,7,7
2025-09-21 00:00:00+00:00,24,21,7,5
2025-09-22 00:00:00+00:00,107,23,150,13
2025-09-23 00:00:00+00:00,197,32,154,6
2025-09-24 00:00:00+00:00,231,38,128,8
2025-09-25 00:00:00+00:00,159,26,203,20
2025-09-26 00:00:00+00:00,55,26,37,9
2025-09-27 00:00:00+00:00,43,35,4,3
2025-09-28 00:00:00+00:00,30,23,10,5
2025-09-29 00:00:00+00:00,63,41,61,6
2025-09-30 00:00:00+00:00,99,26,131,11
2025-10-01 00:00:00+00:00,172,22,142,9
2025-10-02 00:00:00+00:00,110,17,122,17
2025-10-03 00:00:00+00:00,120,23,90,12
2025-10-04 00:00:00+00:00,23,18,10,5
2025-10-05 00:00:00+00:00,35,27,8,4
2025-10-06 00:00:00+00:00,92,19,79,14
2025-10-07 00:00:00+00:00,124,38,43,10
2025-10-08 00:00:00+00:00,88,28,74,10
2025-10-09 00:00:00+00:00,106,36,223,15
2025-10-10 00:00:00+00:00,22,20,61,9
2025-10-11 00:00:00+00:00,24,20,3,3
2025-10-12 00:00:00+00:00,16,12,3,3
2025-10-13 00:00:00+00:00,20,13,51,12
2025-10-14 00:00:00+00:00,97,22,206,23
2025-10-15 00:00:00+00:00,159,30,89,11
2025-10-16 00:00:00+00:00,132,25,163,12
2025-10-17 00:00:00+00:00,141,21,129,12
2025-10-18 00:00:00+00:00,63,23,9,3
2025-10-19 00:00:00+00:00,56,37,1,1
2025-10-20 00:00:00+00:00,85,19,51,9
2025-10-21 00:00:00+00:00,48,22,65,15
2025-10-22 00:00:00+00:00,61,31,37,16
2025-10-23 00:00:00+00:00,106,22,53,7
2025-10-24 00:00:00+00:00,34,19,50,11
2025-10-25 00:00:00+00:00,41,20,9,7
2025-10-26 00:00:00+00:00,42,15,13,3
2025-10-27 00:00:00+00:00,35,29,40,8
2025-10-28 00:00:00+00:00,39,13,33,10
2025-10-29 00:00:00+00:00,34,15,54,9
2025-10-30 00:00:00+00:00,86,18,147,13
2025-10-31 00:00:00+00:00,112,35,114,12
2025-11-01 00:00:00+00:00,56,37,2,2
2025-11-02 00:00:00+00:00,11,8,4,4
2025-11-03 00:00:00+00:00,130,27,63,18
2025-11-04 00:00:00+00:00,120,16,155,20
2025-11-05 00:00:00+00:00,64,21,200,17
2025-11-06 00:00:00+00:00,92,33,178,19
2025-11-07 00:00:00+00:00,108,24,108,28
2025-11-08 00:00:00+00:00,70,18,24,5
2025-11-09 00:00:00+00:00,2317,13,5,4
2025-11-10 00:00:00+00:00,57,20,69,9
2025-11-11 00:00:00+00:00,55,19,102,11
2025-11-12 00:00:00+00:00,170,75,132,8
2025-11-13 00:00:00+00:00,255,92,157,8
2025-11-14 00:00:00+00:00,74,23,70,20
2025-11-15 00:00:00+00:00,17,4,1,1
2025-11-16 00:00:00+00:00,33,11,4,2
2025-11-17 00:00:00+00:00,25,15,201,22
2025-11-18 00:00:00+00:00,146,56,122,15
2025-11-19 00:00:00+00:00,60,27,35,6
2025-11-20 00:00:00+00:00,12,11,47,7
2025-11-21 00:00:00+00:00,9,6,50,8
2025-11-22 00:00:00+00:00,5,5,2,2
2025-11-23 00:00:00+00:00,5,4,2,2
2025-11-24 00:00:00+00:00,13,11,54,10
2025-11-25 00:00:00+00:00,4,3,17,4
2025-11-26 00:00:00+00:00,86,51,56,5
2025-11-27 00:00:00+00:00,19,7,86,8
2025-11-28 00:00:00+00:00,6,5,12,5
2025-11-29 00:00:00+00:00,5,4,1,1
2025-11-30 00:00:00+00:00,3,3,3,3
2025-12-01 00:00:00+00:00,59,21,27,4
2025-12-02 00:00:00+00:00,50,15,9,5
2025-12-03 00:00:00+00:00,239,70,16,7
2025-12-04 00:00:00+00:00,31,28,21,4
2025-12-05 00:00:00+00:00,27,22,15,3
2025-12-06 00:00:00+00:00,16,11,4,3
2025-12-07 00:00:00+00:00,4,3,5,3
2025-12-08 00:00:00+00:00,16,11,7,1
2025-12-09 00:00:00+00:00,38,17,44,5
2025-12-10 00:00:00+00:00,103,66,108,11
2025-12-11 00:00:00+00:00,46,44,28,4
2025-12-12 00:00:00+00:00,41,29,70,4
2025-12-13 00:00:00+00:00,19,11,2,2
2025-12-14 00:00:00+00:00,9,5,22,4
2025-12-15 00:00:00+00:00,98,39,55,6
2025-12-16 00:00:00+00:00,36,17,37,7
2025-12-17 00:00:00+00:00,173,53,322,12
2025-12-18 00:00:00+00:00,30,19,135,9
2025-12-19 00:00:00+00:00,26,20,14,4
2025-12-20 00:00:00+00:00,30,18,2,2
2025-12-21 00:00:00+00:00,30,20,0,0
2025-12-22 00:00:00+00:00,9,9,2,2
2025-12-23 00:00:00+00:00,14,9,7,3
2025-12-24 00:00:00+00:00,25,17,6,3
2025-12-25 00:00:00+00:00,26,13,0,0
2025-12-26 00:00:00+00:00,16,10,4,1
2025-12-27 00:00:00+00:00,14,11,19,4
2025-12-28 00:00:00+00:00,19,11,6,2
2025-12-29 00:00:00+00:00,18,9,20,6
2025-12-30 00:00:00+00:00,23,12,0,0
2025-12-31 00:00:00+00:00,16,8,8,2
2026-01-01 00:00:00+00:00,12,8,7,2
2026-01-02 00:00:00+00:00,9,5,1,1
2026-01-03 00:00:00+00:00,11,7,4,3
2026-01-04 00:00:00+00:00,11,6,2,2
2026-01-05 00:00:00+00:00,14,5,26,6
2026-01-06 00:00:00+00:00,63,38,97,6
2026-01-07 00:00:00+00:00,31,9,207,14
