"EDV,lv","EDP,lv","pEndIVC,lv","pMax,lv","ESV,lv","pEndEj,lv","EDV,rv","EDP,rv","pEndIVC,rv","pMax,rv","ESV,rv","pEndEj,rv","EDV,aWave,la","pMax,aWave,la","ESV,aWave,la","VMax,vWave,la","pMax,vWave,la","ESV,vWave,la","pMin,vWave,la","EDV,aWave,ra","pMax,aWave,ra","ESV,aWave,ra","VMax,vWave,ra","pMax,vWave,ra","ESV,vWave,ra","pMin,vWave,ra"
147.09,11.2,78.37,122.97,69.6,96.03,116.47,4.52,16.81,32.69,39.08,11.75,63.82,12.8,30.7,75.61,10.21,46.55,1.61,54.42,6.22,27.59,63.26,3.07,38.03,-0.41
135.85,11.03,81.48,114.68,80.04,96.91,91.24,4.79,12.98,22.09,35.48,6.33,57.25,10.35,28.76,62.48,5.41,46.1,1.42,47.87,4.49,26.92,54.77,1.63,30.13,-1.26
163.46,14.51,72.23,128.15,83.08,101.92,119.3,5.61,18.0,30.15,38.7,11.79,63.42,13.79,29.59,71.02,8.9,48.77,2.24,53.01,6.11,26.53,63.57,3.26,38.71,-0.34
139.33,10.68,79.78,120.06,81.35,97.7,95.96,4.44,13.2,24.21,38.02,8.26,60.53,12.13,27.99,69.45,6.09,49.48,1.77,47.77,4.83,27.55,57.6,1.66,31.85,-0.89
149.22,9.28,84.71,119.7,67.84,88.93,120.86,4.71,17.95,32.42,39.54,12.79,63.34,13.09,27.64,70.0,7.21,45.28,1.2,53.73,6.67,25.25,65.83,3.11,37.44,-0.43
166.03,12.37,80.74,117.31,91.06,93.2,116.62,4.67,16.34,27.98,41.69,9.24,68.56,14.12,30.91,74.31,8.25,54.76,3.07,52.78,5.93,28.54,64.75,2.82,38.85,-0.27
184.7,12.69,51.88,124.91,88.12,94.53,141.7,3.59,17.43,34.34,45.22,12.48,66.56,17.07,29.24,82.63,12.95,52.45,3.06,50.21,6.76,29.98,68.76,4.06,42.91,0.17
167.71,14.35,78.52,128.1,72.32,89.07,133.03,5.96,16.73,36.09,37.51,9.13,71.07,15.04,32.02,86.86,13.59,51.16,2.47,58.57,7.75,28.09,68.52,3.66,39.81,-0.18
147.32,9.13,79.43,121.19,73.7,96.05,114.35,4.36,18.71,31.84,40.66,13.03,63.39,12.7,28.21,68.03,6.12,47.48,1.5,51.58,5.79,27.3,64.16,2.63,37.09,-0.43
159.34,16.33,77.31,123.51,89.67,98.12,112.56,5.79,15.96,29.4,42.94,9.3,70.17,15.73,29.96,81.31,9.71,56.23,3.18,55.11,7.07,24.34,65.28,2.7,37.74,-0.36
153.75,7.46,51.28,121.0,94.06,102.31,101.84,2.29,14.6,25.03,42.39,11.24,59.57,11.98,29.33,67.95,5.89,53.38,2.56,46.49,3.93,31.46,61.87,2.23,38.08,-0.32
161.96,8.19,57.98,118.89,86.29,91.84,119.62,2.9,16.18,29.97,44.33,11.63,61.95,13.97,28.34,76.7,8.82,50.03,2.05,48.69,5.22,29.18,65.99,2.96,41.26,-0.02
146.09,6.29,53.51,109.34,88.86,90.2,97.83,1.95,12.9,22.79,40.93,7.65,54.88,11.31,27.3,63.43,6.25,47.26,1.85,46.23,4.17,27.74,59.23,2.49,38.3,-0.39
197.88,12.83,80.21,125.99,78.78,84.16,176.34,5.63,22.02,43.96,57.46,18.7,75.28,18.89,30.41,95.99,16.19,54.3,3.03,57.9,9.46,29.26,81.48,5.7,49.64,0.89
150.17,9.49,53.34,124.78,69.78,94.52,121.75,3.31,18.16,35.96,42.43,13.45,66.67,14.78,29.44,79.5,8.85,50.02,1.86,51.04,6.26,30.55,68.76,3.08,40.44,-0.1
156.05,8.52,43.16,115.09,81.26,90.04,119.6,2.75,15.17,31.13,45.91,12.68,62.77,14.44,28.16,75.62,7.41,51.66,2.1,47.25,5.06,31.56,67.44,2.79,41.21,-0.02
132.53,6.0,45.74,114.45,84.78,96.94,85.68,1.47,10.88,20.16,38.51,8.55,53.7,10.82,26.67,59.23,4.22,48.24,1.77,43.82,3.76,29.92,55.15,1.58,32.11,-0.99
150.21,13.9,78.09,116.9,92.47,101.38,96.98,4.6,13.26,22.82,39.24,6.79,66.06,13.85,29.07,73.78,7.5,54.89,2.9,49.57,5.32,26.21,58.26,1.8,33.61,-0.75
145.43,13.06,80.73,120.45,72.15,93.45,114.37,5.84,17.8,31.53,41.12,13.27,63.24,13.04,28.62,71.2,7.17,46.59,1.38,53.59,6.41,25.64,63.07,2.54,37.19,-0.43
163.85,13.49,76.95,119.65,93.33,99.09,115.29,5.08,16.36,27.86,44.89,12.09,66.84,15.54,27.9,75.83,7.92,54.62,2.82,52.47,6.76,24.25,65.54,2.71,38.92,-0.25
174.08,11.55,72.2,141.26,66.14,100.72,148.45,4.54,20.36,43.6,41.05,16.09,71.28,16.4,30.38,84.65,12.68,51.45,2.57,57.06,8.34,28.55,75.6,4.96,44.27,0.31
181.61,12.37,77.25,131.56,72.62,91.84,151.94,4.76,19.09,41.06,43.28,13.07,71.15,17.01,30.25,81.94,11.91,52.42,2.86,56.29,8.46,28.69,75.5,5.06,45.28,0.44
168.03,16.72,80.27,131.03,61.06,90.93,147.04,7.16,19.7,43.0,39.93,13.13,75.59,17.8,31.72,92.13,15.36,52.57,2.77,65.35,10.18,27.27,75.75,4.86,42.86,0.15
163.58,10.73,65.87,123.22,89.31,101.64,120.56,3.37,21.35,31.82,46.52,14.42,67.95,15.49,30.5,73.01,8.55,54.79,3.36,51.19,6.26,30.09,64.93,3.11,41.65,0.02
173.73,12.82,65.0,128.48,84.1,99.12,142.33,4.68,24.86,39.21,53.09,20.59,75.49,17.75,31.62,82.28,10.43,57.83,3.63,55.62,8.01,30.39,75.08,4.31,47.04,0.57
148.97,10.59,81.49,120.74,72.67,92.0,115.45,4.54,16.38,31.42,39.14,10.16,63.7,12.99,29.24,72.31,8.68,47.23,1.72,53.29,6.33,26.78,62.36,2.82,37.86,-0.42
173.11,10.4,58.02,129.96,79.96,98.93,131.98,3.48,16.09,34.1,39.7,11.14,67.43,15.2,31.6,85.17,13.96,51.17,2.66,52.5,6.23,30.6,69.32,4.1,41.95,0.05
157.5,9.11,68.42,119.14,92.75,97.6,114.98,3.6,17.88,29.99,50.34,13.98,63.33,12.68,28.57,73.66,6.38,54.42,2.39,47.79,4.36,31.91,65.81,2.38,41.98,0.04
167.94,11.74,77.93,121.31,91.21,93.99,123.42,4.02,16.92,30.99,46.58,11.66,71.48,17.1,28.35,77.52,8.81,57.36,3.56,52.6,7.45,26.64,66.85,3.02,41.68,0.02
184.72,11.74,63.72,135.21,93.88,108.54,134.15,4.14,17.53,34.71,42.71,10.71,71.91,16.57,31.01,86.55,12.37,57.2,3.61,52.88,6.66,29.64,70.57,3.71,42.45,0.1
165.33,8.99,66.39,131.75,90.12,111.55,110.61,2.55,16.0,27.21,35.53,8.35,62.54,14.47,28.52,70.63,7.96,51.48,2.66,48.48,5.25,28.43,61.82,2.69,37.64,-0.44
194.82,14.32,62.66,143.16,78.23,105.86,161.33,5.48,20.89,44.27,44.64,15.04,74.99,19.11,31.91,93.0,18.16,55.25,3.87,58.7,9.38,29.03,77.64,6.01,47.48,0.77
169.48,19.09,66.53,141.5,68.75,107.15,137.85,7.97,18.47,41.63,35.68,10.04,76.81,17.6,33.44,92.43,15.52,56.64,3.68,65.58,9.42,27.79,72.7,4.29,39.83,-0.18
135.38,7.51,49.98,119.98,77.33,101.3,105.36,2.38,17.05,31.27,48.02,17.48,58.49,11.81,28.51,62.6,5.55,47.11,1.67,47.29,4.47,31.0,61.29,2.62,40.83,-0.07
168.22,21.29,81.44,124.71,70.21,88.26,146.49,9.66,22.2,41.11,48.45,16.93,79.15,16.73,34.93,93.26,12.84,57.16,3.08,67.56,9.43,28.09,79.79,4.56,45.72,0.38
140.75,7.33,76.89,121.23,74.5,96.56,101.91,2.52,14.09,27.41,35.79,7.64,59.18,12.92,26.79,67.33,6.55,45.57,1.29,49.37,5.51,24.7,59.96,2.29,34.34,-0.78
137.78,8.81,75.32,122.64,75.55,105.88,102.11,3.82,15.97,28.24,39.9,11.98,61.04,13.12,26.66,69.18,5.65,48.2,1.47,48.33,5.6,26.32,61.29,1.98,32.39,-0.81
142.25,9.01,72.59,120.45,70.72,91.7,107.44,2.95,15.71,29.49,36.17,8.76,64.52,14.19,28.6,73.83,7.08,48.96,1.65,51.56,6.3,26.17,62.87,2.25,34.27,-0.66
143.03,14.6,81.47,122.35,66.61,90.91,113.08,5.82,15.89,31.76,36.75,9.74,63.22,12.29,31.43,74.94,9.83,45.52,1.37,55.02,5.9,27.35,61.86,2.79,36.32,-0.6
166.68,10.88,39.71,120.58,89.11,90.43,124.47,2.95,13.76,31.61,47.51,14.19,63.11,16.05,27.96,76.1,8.39,53.3,2.68,47.65,5.55,29.64,68.99,3.34,43.2,0.17
137.77,6.8,46.53,110.28,83.55,88.83,94.28,1.89,12.88,22.58,40.6,8.17,56.77,10.66,29.25,64.53,6.23,47.86,1.86,46.8,3.77,29.66,58.9,2.29,36.82,-0.53
163.35,9.32,57.13,121.01,90.44,96.11,119.87,2.95,16.51,30.77,47.48,12.34,65.69,15.79,27.89,77.65,8.52,54.66,2.85,48.71,5.75,28.66,66.65,2.88,42.5,0.1
129.17,6.86,76.84,112.84,71.7,93.24,99.96,2.86,14.91,27.9,42.7,12.32,56.22,10.84,26.3,62.96,5.1,43.3,0.79,47.82,4.58,27.68,58.95,2.05,36.49,-0.51
174.22,12.39,67.72,139.75,75.94,104.7,141.18,4.46,23.85,40.28,43.18,16.66,73.26,17.42,31.72,84.27,11.91,53.75,2.94,55.71,7.85,29.77,74.2,4.46,44.17,0.29
180.17,13.62,69.97,133.48,82.49,103.91,137.83,5.45,21.81,35.73,39.88,12.36,68.62,16.3,30.37,74.48,10.0,51.99,3.0,55.6,7.57,27.44,69.82,4.36,42.62,0.14
156.82,15.75,74.97,130.33,72.89,97.67,121.19,6.88,16.98,33.88,37.04,10.48,70.06,14.93,30.65,81.66,10.19,51.54,2.29,58.6,7.71,24.73,66.86,3.01,36.0,-0.54
141.79,7.76,44.57,117.29,86.52,100.88,95.9,1.9,12.54,23.73,41.75,10.86,57.72,12.2,28.52,62.16,5.89,49.23,2.33,45.73,3.98,30.38,57.18,2.17,38.44,-0.37
140.83,11.49,73.21,127.22,74.44,103.02,101.34,4.38,13.88,28.42,34.8,6.94,66.32,13.82,28.17,75.94,8.07,50.13,1.96,51.75,6.21,24.42,59.1,1.9,31.34,-0.98
149.44,10.14,39.19,122.88,75.45,99.54,113.41,2.73,13.4,29.99,39.75,12.18,61.49,13.51,29.39,71.39,8.67,48.34,2.03,48.21,5.08,31.22,62.21,2.89,39.5,-0.24
159.44,11.41,73.38,131.21,68.6,97.43,132.18,4.23,25.11,39.21,41.45,16.95,71.01,15.1,31.91,75.34,9.11,50.15,2.22,56.33,7.51,30.18,69.67,3.81,41.5,0.0
157.97,13.92,80.31,124.9,73.47,91.5,127.08,6.84,19.98,34.46,42.61,14.44,66.5,13.04,31.0,74.9,8.92,48.44,1.84,55.98,6.39,27.48,68.43,3.57,40.28,-0.13
158.85,12.1,52.41,123.95,80.29,98.17,119.29,3.31,17.11,32.03,41.19,10.36,69.03,16.07,29.09,77.15,8.8,53.58,2.74,51.25,6.39,28.15,69.3,3.41,40.52,-0.1
135.72,7.04,80.18,121.18,69.72,92.11,98.46,3.4,13.18,27.53,32.52,5.09,60.47,12.63,25.63,67.66,5.28,45.69,1.05,46.54,5.08,27.48,58.19,1.63,28.52,-1.18
158.61,7.73,44.12,122.25,88.85,100.39,117.08,2.46,14.25,31.0,48.01,13.46,59.23,12.24,29.55,70.91,7.8,50.34,2.29,47.18,4.21,32.34,65.8,3.22,42.96,0.16
171.2,11.99,77.32,125.19,75.09,95.0,132.84,5.14,16.24,34.31,36.46,8.65,74.17,16.43,28.32,86.01,10.03,53.46,2.36,55.61,8.05,25.79,71.66,3.25,37.7,-0.33
148.22,7.62,69.13,112.69,85.03,91.03,109.11,2.74,16.11,27.51,46.14,12.2,58.75,13.03,27.24,65.78,6.79,47.71,1.91,48.2,5.15,27.32,61.53,2.79,40.97,-0.06
141.17,7.86,62.84,117.26,74.96,94.16,107.59,2.6,15.38,29.49,41.82,10.89,60.84,12.4,28.86,69.74,7.5,46.87,1.57,49.27,5.04,29.15,61.58,2.58,38.6,-0.32
140.32,10.16,84.85,117.85,67.36,91.43,108.33,4.39,13.83,28.65,35.44,8.6,62.31,11.78,30.22,76.06,9.64,45.07,1.19,54.17,5.63,25.93,61.57,2.58,33.83,-0.83
162.76,13.36,80.53,123.89,81.74,91.8,121.69,4.74,19.21,31.23,40.66,11.39,66.42,15.25,30.16,73.19,9.76,50.38,2.66,54.52,7.09,26.87,64.36,3.43,39.6,-0.24
142.48,8.12,85.32,116.09,79.08,90.15,106.1,3.72,15.67,28.0,42.77,11.53,56.91,10.54,28.36,62.66,5.95,45.53,1.42,48.83,4.54,28.25,59.85,2.56,38.74,-0.33
127.07,8.49,85.34,113.16,70.94,92.45,94.16,3.42,13.66,25.51,38.19,8.79,58.26,11.35,27.41,66.49,5.47,44.72,0.96,48.18,4.85,26.52,56.56,1.57,31.86,-0.91
136.5,8.37,84.38,117.08,72.5,93.27,97.89,3.26,13.43,25.88,33.94,5.97,61.0,11.22,30.26,66.54,6.97,46.4,1.56,51.41,5.21,26.02,57.7,2.15,30.7,-1.25
137.43,9.28,34.18,116.86,71.12,95.19,105.74,2.55,11.59,28.46,39.9,11.56,59.07,14.02,27.61,72.09,8.15,45.92,1.39,47.39,5.36,28.29,62.18,2.67,38.28,-0.36
181.93,14.34,73.58,132.69,72.24,92.44,152.48,5.51,20.39,41.34,42.71,13.35,77.3,18.82,31.62,90.63,14.99,56.49,3.75,61.6,10.41,28.41,75.98,5.0,44.47,0.34
159.57,8.57,52.9,121.72,82.71,89.92,116.21,2.81,16.06,28.67,39.81,10.25,64.92,13.69,29.8,78.93,8.1,52.72,2.2,48.76,4.84,32.16,66.89,2.62,38.9,-0.22
151.58,8.72,70.15,114.9,80.95,91.85,105.58,3.13,13.29,25.29,35.08,6.53,65.23,13.9,27.64,74.89,7.32,51.28,2.05,49.31,5.54,27.09,61.79,2.1,33.17,-0.75
162.0,11.11,62.53,115.74,76.73,87.67,129.19,3.85,17.04,33.27,44.77,12.05,68.82,16.15,30.41,81.43,12.01,51.59,2.72,53.91,7.47,28.73,67.94,3.76,42.43,0.11
149.23,13.63,84.72,116.37,74.2,88.34,119.05,6.03,16.52,32.42,44.05,12.55,66.49,13.16,30.92,76.19,9.35,49.57,2.08,55.8,6.7,27.28,64.58,2.96,39.55,-0.21
154.2,8.42,54.79,126.06,71.74,93.19,117.82,2.7,15.26,32.8,36.61,8.56,61.49,14.09,27.25,73.86,8.83,46.7,1.56,49.31,5.87,27.48,65.57,3.23,38.59,-0.33
134.03,8.12,39.13,114.44,70.5,92.28,104.76,2.56,13.53,29.75,42.47,14.53,60.44,12.19,29.75,66.72,5.88,46.67,1.37,48.6,4.72,31.42,63.31,2.55,38.21,-0.32
164.56,11.74,76.61,128.19,66.2,92.76,137.87,4.49,19.03,38.44,39.83,12.94,69.75,16.47,30.33,82.31,13.03,49.86,2.46,57.28,8.36,27.16,71.24,4.61,43.03,0.19
158.41,10.13,61.14,132.34,84.25,109.6,115.59,3.05,20.13,32.46,41.99,13.62,65.5,14.74,30.63,71.7,8.45,52.13,2.83,50.53,5.65,29.73,64.9,3.23,40.75,-0.09
188.52,18.17,46.48,128.45,76.06,89.2,155.61,5.65,18.18,38.73,43.03,13.3,84.82,19.46,36.11,99.63,14.37,63.02,4.07,60.27,8.64,31.67,86.96,5.47,49.73,0.72
132.37,7.01,49.35,114.36,80.05,98.22,91.0,1.95,13.0,23.82,39.09,8.02,57.51,11.52,28.09,64.57,5.05,48.76,1.69,45.59,4.01,31.46,57.3,1.67,32.56,-0.84
191.62,11.57,54.88,134.25,91.31,98.45,144.1,3.85,19.03,36.27,44.41,12.7,72.05,18.58,29.58,91.6,12.1,58.41,3.38,51.44,7.03,29.2,77.47,4.18,44.58,0.28
149.48,9.35,64.45,122.9,83.44,102.61,99.69,2.52,14.51,24.56,33.88,6.84,64.07,13.72,30.38,70.21,7.63,51.34,2.54,50.24,5.27,27.29,59.15,2.22,33.16,-0.9
143.86,12.32,79.58,119.69,75.24,97.05,103.73,5.25,13.07,26.37,35.07,7.29,63.3,11.68,31.4,74.61,9.39,48.53,1.97,54.28,5.44,25.72,60.25,2.44,32.09,-1.04
144.03,10.93,86.17,115.9,87.16,91.11,99.49,4.35,14.56,25.08,42.69,9.77,61.55,11.44,28.92,67.68,5.86,50.95,2.1,48.78,4.44,29.0,58.76,1.85,36.62,-0.45
169.54,9.05,62.46,129.15,97.23,109.46,116.79,3.01,18.3,29.45,44.4,12.59,62.57,13.39,30.9,71.38,8.55,52.85,3.06,48.78,4.66,31.32,63.7,3.1,42.01,0.06
146.97,9.39,79.25,122.44,83.16,97.13,107.78,3.44,16.03,28.75,44.11,12.68,61.52,13.16,28.81,67.54,7.66,49.41,2.39,50.38,5.43,27.11,62.31,3.03,40.09,-0.17
149.76,9.53,73.23,131.08,69.97,100.19,111.96,3.42,15.33,30.0,32.13,8.49,65.95,14.81,27.23,71.98,7.43,47.35,1.55,54.05,7.14,23.22,62.91,2.55,32.72,-0.91
159.75,10.94,82.95,118.74,79.05,89.92,120.96,3.96,16.1,30.95,40.41,9.33,68.5,15.29,29.79,80.45,11.0,51.37,2.53,54.55,6.93,26.35,67.78,3.53,39.53,-0.21
176.88,11.0,73.72,128.09,86.84,97.48,137.34,4.25,22.79,35.59,47.26,16.17,67.72,16.4,29.11,75.82,9.78,52.0,2.81,52.8,7.19,28.07,69.38,3.98,43.65,0.25
162.63,8.88,43.44,121.07,88.38,96.18,109.99,2.35,13.19,25.67,37.24,8.28,60.7,15.14,28.08,73.35,9.08,50.03,2.4,47.63,5.27,27.85,63.35,3.02,39.03,-0.29
133.5,6.5,37.58,114.91,73.25,94.82,99.97,1.92,12.15,26.94,40.65,11.44,56.04,10.86,28.31,64.27,5.35,45.44,1.16,46.13,3.93,31.49,60.52,2.22,36.93,-0.46
135.1,6.94,64.21,118.59,72.82,92.04,100.54,2.43,16.14,27.8,38.58,10.5,58.12,12.93,25.43,64.04,4.76,45.93,1.16,47.69,5.52,25.22,61.67,2.15,32.73,-0.83
128.95,6.16,54.25,108.37,73.95,86.79,101.67,2.15,16.42,27.98,46.98,15.16,55.34,11.31,26.1,64.07,4.66,44.94,0.96,45.69,4.24,29.84,60.36,1.94,38.66,-0.26
146.61,7.7,58.8,120.73,85.74,101.1,95.96,2.58,12.61,23.48,35.22,5.89,61.29,12.45,28.88,71.1,6.57,51.71,2.19,46.95,4.41,30.92,59.42,1.88,31.43,-0.92
155.58,17.73,72.1,130.06,67.58,100.12,127.68,7.93,19.46,37.73,39.35,13.59,72.66,14.61,32.65,81.21,10.22,51.38,2.28,61.86,8.17,27.01,69.56,3.46,38.22,-0.32
160.16,10.65,46.68,124.13,80.05,102.25,124.01,3.05,16.68,33.59,44.3,13.71,62.24,14.27,29.17,71.5,8.95,48.88,2.23,48.94,5.58,30.68,65.65,3.58,41.92,0.05
146.91,9.51,75.4,128.86,74.86,100.75,113.52,4.11,17.1,32.49,41.47,13.72,64.35,13.62,28.3,74.06,7.73,48.52,1.69,52.31,6.23,26.35,64.66,2.67,37.52,-0.39
158.03,7.99,60.36,118.78,94.03,94.34,106.36,2.51,14.4,25.02,42.66,10.23,59.7,13.81,28.02,70.32,7.92,50.75,2.52,48.0,4.93,27.16,62.93,2.89,40.31,-0.14
149.54,7.27,36.13,111.17,88.03,89.57,98.84,1.82,10.13,23.16,38.44,6.28,57.71,12.08,28.85,69.23,6.95,49.84,2.1,45.75,3.82,30.89,60.67,2.32,37.47,-0.42
142.55,7.55,50.1,124.62,69.01,95.09,102.65,2.19,12.25,27.62,30.02,3.86,59.98,12.5,28.29,75.82,8.46,45.41,1.13,50.52,5.39,25.32,61.72,2.32,30.49,-1.08
162.44,8.34,45.41,125.68,85.56,98.0,120.08,2.6,15.48,31.39,44.17,13.14,62.13,14.11,27.9,74.94,7.63,52.16,2.3,46.88,4.73,31.24,66.87,2.86,41.62,0.01
133.41,10.28,82.89,116.6,83.19,97.44,91.56,4.3,16.18,23.61,41.44,10.66,57.22,10.78,27.0,61.04,4.14,48.65,1.64,46.01,4.19,28.9,56.27,1.52,32.53,-0.83
133.05,7.41,64.26,120.78,75.87,101.37,97.08,2.29,16.85,27.15,40.17,12.19,58.8,12.58,27.05,62.84,5.02,47.39,1.57,47.4,5.17,27.15,58.78,2.01,33.8,-0.79
151.47,8.95,63.71,121.46,73.15,92.6,120.24,3.05,18.23,33.04,42.89,14.24,63.01,14.29,27.73,68.68,7.44,47.66,1.83,50.35,6.3,27.69,65.08,3.27,40.92,-0.07
135.18,5.9,35.86,112.1,76.72,87.36,97.59,1.7,10.97,25.79,39.83,8.72,54.67,10.49,27.39,65.91,4.75,46.88,1.19,44.16,3.3,34.4,60.95,1.88,35.55,-0.5
160.51,11.47,47.64,131.62,67.6,97.22,134.65,3.55,18.75,39.37,41.79,16.01,66.57,15.09,28.79,74.8,8.06,48.69,1.74,51.17,6.35,30.35,73.12,3.99,42.22,0.07
159.86,13.03,44.2,121.5,74.58,90.56,121.1,3.52,14.59,31.66,36.24,6.95,72.54,16.5,30.62,91.25,11.59,55.76,2.72,52.64,6.8,29.27,71.68,3.2,37.89,-0.3
156.57,9.65,48.06,117.71,89.69,91.5,108.1,2.62,14.66,26.63,42.29,11.2,63.66,14.49,29.83,69.62,7.52,53.01,2.96,48.76,5.01,29.3,64.19,3.02,40.35,-0.13
149.3,8.79,80.18,123.04,75.35,94.08,107.76,3.47,13.34,27.39,33.95,6.98,66.3,13.34,27.82,77.78,7.51,50.73,1.8,50.59,5.55,27.14,63.27,2.11,32.55,-0.74
187.86,18.25,65.19,141.35,79.06,105.52,154.88,8.61,21.62,43.47,45.19,15.09,71.79,16.82,33.52,85.09,14.37,54.26,3.55,60.03,8.39,29.5,74.5,5.29,46.25,0.59
140.19,11.94,76.58,120.82,72.54,99.15,99.3,5.0,13.79,27.33,31.55,4.3,67.25,13.74,28.11,74.46,7.25,49.63,1.77,49.53,5.8,25.59,56.24,1.48,28.21,-1.24
146.97,8.6,48.31,123.36,69.76,100.41,112.72,2.73,16.72,32.3,36.85,10.76,63.29,14.92,26.71,72.48,6.34,48.27,1.47,49.18,6.03,27.16,67.67,2.72,35.53,-0.52
166.42,10.02,66.56,134.51,72.09,103.29,134.08,3.9,18.47,37.72,39.25,13.07,68.16,15.79,27.87,78.82,9.82,49.68,2.07,53.52,7.74,27.0,68.71,3.5,39.74,-0.18
159.9,11.58,85.94,116.16,81.73,86.66,115.76,5.05,14.67,28.77,37.6,6.99,66.95,14.29,27.7,77.86,7.91,51.04,1.96,51.43,6.12,26.14,64.78,2.41,36.24,-0.46
155.28,8.56,70.65,117.78,77.3,86.82,117.18,2.96,15.51,29.34,39.66,9.9,61.56,13.35,27.97,67.06,7.07,47.73,1.87,50.01,5.69,27.7,64.08,3.16,39.77,-0.2
173.76,11.18,56.1,128.42,90.17,100.48,126.11,3.42,18.22,32.32,43.3,11.87,68.28,15.92,32.05,79.55,11.59,54.24,3.42,51.44,6.03,31.03,67.12,3.69,42.63,0.14
152.13,7.56,47.63,113.62,94.91,95.54,107.3,2.31,14.71,26.87,50.48,13.19,60.6,13.11,27.37,70.39,5.75,55.07,2.6,45.97,4.23,30.56,65.0,2.35,41.5,0.0
134.15,8.16,64.08,118.31,72.24,95.22,98.9,2.5,14.52,27.1,37.27,8.88,62.16,12.36,29.32,71.51,6.33,48.28,1.48,48.74,4.84,30.34,59.76,1.82,33.36,-0.7
173.78,12.21,79.91,130.77,71.49,91.67,146.5,5.43,19.97,41.0,44.2,13.59,69.97,15.55,31.88,81.24,12.35,51.58,2.79,57.99,8.06,29.25,73.05,4.85,44.6,0.38
129.01,6.27,59.29,112.55,75.89,88.88,95.11,1.92,16.13,25.48,42.28,12.29,54.61,10.78,27.49,59.45,4.84,44.47,1.15,46.37,4.02,28.53,57.17,2.08,37.72,-0.44
150.19,10.46,32.55,116.54,82.7,89.64,112.34,2.75,10.88,29.27,45.32,13.11,60.59,14.59,29.04,70.22,8.25,49.56,2.33,47.33,5.11,30.51,63.66,3.14,41.46,-0.0
134.83,8.0,81.67,118.46,75.09,97.08,99.43,3.5,15.86,27.28,39.73,11.21,59.12,12.82,25.97,67.05,5.16,47.08,1.29,47.8,5.42,25.59,59.9,1.83,32.78,-0.78
146.12,10.76,77.41,119.79,87.15,101.95,97.46,4.14,13.09,24.18,38.44,7.23,62.65,14.05,26.73,74.23,7.5,51.86,2.3,48.43,5.66,24.5,58.32,1.8,33.07,-0.82
157.7,9.74,44.9,123.59,95.87,106.43,97.17,2.13,11.19,22.07,36.59,7.31,63.34,15.56,28.47,72.68,8.13,55.4,3.41,47.06,5.17,27.37,60.27,2.32,34.91,-0.71
162.09,12.09,74.44,132.4,65.97,96.13,136.18,4.69,19.08,39.98,40.12,13.88,75.05,16.94,30.86,88.85,11.7,53.28,2.46,59.65,8.89,27.29,74.14,3.83,41.68,0.02
137.34,9.04,75.28,120.04,77.36,103.46,97.36,3.71,15.03,25.05,37.32,9.99,60.57,12.07,27.99,66.44,5.59,47.96,1.57,48.93,5.06,26.42,58.2,1.81,31.87,-0.92
139.63,10.76,80.45,124.68,70.63,96.01,100.84,4.34,15.76,26.49,31.88,7.35,60.08,11.67,29.37,65.22,6.52,44.6,1.17,52.58,5.5,24.25,58.32,2.24,29.96,-1.34
134.12,7.6,42.64,114.9,68.39,89.41,98.35,2.13,12.68,26.16,33.85,6.55,57.99,12.39,28.1,65.83,6.33,44.1,1.01,48.82,5.2,26.44,59.68,2.32,32.44,-1.0
153.85,7.53,57.95,118.42,99.95,99.03,92.91,2.39,12.85,20.58,39.22,8.03,59.42,12.03,27.98,68.84,5.57,55.03,2.65,44.7,3.57,32.02,58.68,1.67,34.91,-0.57
137.59,8.54,64.17,115.89,69.49,92.79,102.58,2.66,14.89,27.88,34.86,7.93,63.61,12.97,29.09,70.08,6.39,47.38,1.42,50.43,5.5,28.07,60.6,2.05,32.66,-0.82
156.96,10.96,45.86,127.78,74.66,99.55,122.58,3.14,16.53,34.28,40.75,13.13,63.77,14.88,29.19,73.13,8.84,48.46,1.98,50.06,5.87,29.41,68.06,3.74,41.4,-0.01
154.6,10.47,44.01,132.6,69.11,101.85,116.14,2.83,14.31,32.36,31.02,6.99,65.41,14.55,29.46,80.47,8.94,49.58,1.74,51.17,5.98,28.87,67.15,2.79,34.45,-0.62
