"EDV,lv","EDP,lv","pEndIVC,lv","pMax,lv","ESV,lv","pEndEj,lv","EDV,rv","EDP,rv","pEndIVC,rv","pMax,rv","ESV,rv","pEndEj,rv","EDV,aWave,la","pMax,aWave,la","ESV,aWave,la","VMax,vWave,la","pMax,vWave,la","ESV,vWave,la","pMin,vWave,la","EDV,aWave,ra","pMax,aWave,ra","ESV,aWave,ra","VMax,vWave,ra","pMax,vWave,ra","ESV,vWave,ra","pMin,vWave,ra"
162.22,10.55,75.6,128.67,83.42,100.3,121.29,4.81,16.78,33.11,42.37,10.76,62.76,14.08,28.02,70.34,8.32,49.71,2.4,52.08,6.48,25.97,65.54,3.49,40.48,-0.12
169.3,10.92,73.34,126.1,82.94,96.95,123.45,4.17,15.14,31.06,36.78,7.41,71.53,15.59,28.95,84.54,9.74,55.17,2.68,51.87,6.45,28.41,67.84,2.77,37.77,-0.32
172.88,21.83,75.5,131.57,66.66,94.23,156.65,9.43,24.24,46.06,50.14,21.83,78.44,17.79,35.07,92.96,14.74,55.23,3.12,68.32,10.42,30.22,78.99,5.12,48.24,0.7
163.6,13.83,77.4,131.88,69.03,90.22,133.25,5.46,18.9,37.43,38.57,11.89,75.56,17.16,30.47,85.64,10.56,53.26,2.45,61.44,9.13,25.09,73.8,3.75,39.32,-0.2
154.02,8.29,74.96,125.12,87.96,101.4,107.45,2.92,15.9,27.44,41.49,11.11,60.64,14.14,27.32,70.67,7.08,50.58,2.2,48.25,5.52,26.8,61.56,2.37,37.61,-0.4
131.8,6.59,30.03,114.22,75.66,94.39,93.89,1.72,8.93,25.64,39.25,9.27,54.23,11.32,26.95,60.65,4.71,45.71,1.3,44.43,3.87,30.45,58.06,2.01,35.7,-0.62
148.42,10.05,84.7,117.0,66.54,87.92,122.23,4.4,19.93,34.16,40.45,12.3,64.33,13.5,28.7,68.6,7.37,45.53,1.35,54.62,7.0,26.09,65.91,3.38,39.02,-0.28
157.62,14.33,78.99,120.27,92.72,97.63,109.59,4.85,19.32,27.78,44.75,12.55,69.72,14.97,30.14,73.78,7.07,57.47,3.24,52.82,6.21,26.39,64.6,2.46,38.05,-0.31
160.53,9.01,78.6,121.41,79.85,93.94,120.08,3.96,14.99,30.24,39.45,9.39,66.11,15.17,26.4,78.21,8.31,51.1,2.08,51.99,6.82,24.07,68.3,2.99,37.51,-0.37
151.83,16.68,68.93,133.69,74.76,108.34,114.72,6.19,16.81,32.74,37.2,11.24,69.78,14.72,31.25,77.68,9.75,51.91,2.58,57.8,7.45,25.98,63.74,2.81,35.7,-0.61
169.31,16.81,69.42,133.15,73.23,100.57,129.19,7.04,15.97,35.07,32.98,6.51,70.63,15.35,29.78,87.32,12.58,51.28,2.34,59.14,7.95,24.22,69.04,3.46,35.75,-0.59
148.34,7.87,71.52,120.3,72.2,89.0,108.49,2.79,13.12,26.66,32.61,6.69,62.38,13.28,27.51,74.0,7.9,46.67,1.38,50.83,5.77,25.74,61.88,2.35,33.51,-0.79
151.53,10.06,34.47,113.97,79.22,87.08,110.55,2.51,11.22,26.64,38.84,8.94,61.54,14.99,27.44,75.64,7.95,50.16,1.98,47.34,5.41,28.41,65.73,2.76,37.84,-0.35
174.21,8.93,50.04,127.72,93.97,98.68,121.0,2.57,15.53,30.09,41.74,9.36,60.76,14.06,28.62,72.2,8.98,52.1,2.96,46.97,4.94,30.87,63.83,3.19,40.83,-0.08
129.1,6.61,48.69,114.15,77.12,96.67,96.04,1.9,15.0,26.55,44.76,12.86,55.58,11.37,26.95,61.64,5.21,45.8,1.38,45.93,4.17,28.66,59.22,2.28,38.64,-0.32
155.77,14.98,73.68,126.78,79.36,103.32,115.39,5.78,17.65,30.97,38.97,10.8,69.2,14.39,29.98,76.14,7.87,52.12,2.25,55.08,6.72,25.71,65.53,2.63,36.07,-0.49
141.45,9.19,79.27,108.36,92.28,92.03,90.4,2.93,13.41,20.4,41.37,7.96,57.94,12.55,26.84,61.93,5.26,50.18,2.34,47.51,4.75,24.85,56.24,1.84,35.09,-0.72
172.92,15.59,67.1,137.8,75.0,107.89,134.63,6.09,17.35,37.74,36.08,9.3,69.34,16.92,30.19,86.08,14.68,52.44,3.11,57.98,8.24,26.37,68.72,4.13,40.12,-0.17
163.99,9.26,48.69,117.66,90.78,96.27,109.05,2.49,14.34,24.69,36.52,7.19,64.69,14.6,29.48,75.74,8.5,53.74,2.79,48.35,4.97,29.75,63.49,2.59,37.32,-0.41
140.53,7.79,69.83,120.36,83.34,102.12,98.14,2.89,16.04,26.29,41.04,10.46,60.01,11.73,28.07,66.68,5.12,50.62,1.87,46.69,4.17,31.61,59.78,1.81,34.88,-0.57
152.0,8.91,49.8,113.39,93.63,92.37,107.38,2.54,15.41,27.4,49.69,13.45,64.38,14.59,27.93,71.08,5.92,57.53,3.06,47.46,4.97,29.3,65.91,2.46,41.27,-0.02
146.31,6.61,49.12,111.08,94.66,94.03,107.56,2.05,15.75,28.13,56.39,16.15,56.4,12.55,26.16,64.38,5.47,50.88,2.31,45.6,4.35,28.83,61.32,2.38,43.45,0.21
158.52,9.17,76.67,125.34,69.0,93.31,128.24,3.63,22.85,35.81,39.01,13.74,66.62,15.64,27.63,75.44,7.35,48.65,1.58,53.3,7.31,25.54,71.78,3.38,38.59,-0.26
143.34,9.36,33.31,120.73,79.33,100.13,104.56,2.36,10.62,28.5,41.16,10.65,58.91,13.94,28.08,68.95,7.62,48.37,2.01,46.09,4.74,30.14,60.54,2.57,39.06,-0.28
160.21,8.82,46.09,125.24,87.26,103.6,121.01,2.83,16.03,32.46,48.69,17.23,64.01,13.91,30.26,77.23,7.98,54.17,2.57,48.33,4.8,32.95,68.6,2.97,43.08,0.14
140.22,9.58,86.15,112.5,78.69,90.01,103.45,4.21,14.68,26.54,42.08,10.07,59.42,12.81,25.81,67.25,5.73,46.94,1.39,48.67,5.78,24.85,59.82,2.0,35.18,-0.62
175.44,11.07,41.63,128.5,85.4,97.34,130.14,3.01,14.59,32.47,40.48,11.14,64.54,16.01,28.78,81.53,9.93,52.69,2.5,47.73,5.47,31.56,69.66,3.37,40.95,-0.05
145.27,10.48,73.96,128.14,75.07,104.89,109.05,5.17,18.06,31.78,38.76,11.8,62.4,11.51,29.53,66.16,6.01,47.69,1.63,52.69,5.35,26.78,62.99,2.63,35.47,-0.61
170.66,14.56,52.63,131.27,88.09,101.31,122.16,3.57,17.24,30.95,39.67,10.67,70.82,17.56,30.83,81.68,11.64,56.46,3.79,51.73,6.76,29.05,67.28,3.51,40.98,-0.06
161.22,9.16,57.21,126.32,83.37,100.72,110.85,2.51,13.73,27.8,33.74,6.24,63.11,15.46,27.94,79.84,11.16,49.83,2.29,48.96,5.8,27.11,61.91,2.71,37.12,-0.5
149.25,9.1,66.53,128.32,71.01,103.34,114.09,2.91,17.01,31.86,36.4,11.36,64.48,14.92,28.04,74.18,7.87,48.12,1.65,51.29,6.58,26.57,64.97,2.76,36.05,-0.54
142.93,10.99,85.46,113.87,87.48,89.88,97.8,4.02,14.75,23.74,42.46,10.29,64.99,13.55,27.54,70.24,5.78,54.48,2.51,47.32,4.98,28.53,59.28,1.71,34.03,-0.64
158.86,11.25,72.18,128.93,80.48,102.16,119.4,4.17,16.92,32.93,40.94,11.13,67.78,15.4,29.27,78.81,10.45,51.63,2.61,54.03,7.06,26.11,65.5,3.18,39.37,-0.23
132.49,7.9,36.54,120.28,73.87,99.73,96.81,2.18,11.33,26.79,39.64,12.65,57.19,12.53,28.73,64.78,6.07,46.34,1.49,46.67,4.45,29.26,59.48,2.31,36.85,-0.52
144.76,6.51,30.73,110.63,83.93,90.73,100.86,1.73,9.25,24.71,41.41,9.25,55.0,12.16,26.48,69.46,5.67,49.34,1.66,43.28,3.66,31.96,62.02,2.06,37.3,-0.37
148.92,11.72,81.96,118.35,77.76,92.46,116.18,4.59,18.16,31.39,45.12,14.32,62.9,13.38,29.65,68.97,8.25,48.15,2.1,52.94,6.3,27.12,63.19,3.23,40.57,-0.12
160.84,11.06,73.23,128.84,78.86,100.22,115.41,3.46,15.52,30.68,33.58,6.15,68.71,15.21,30.72,79.83,11.38,52.33,2.88,54.16,6.57,26.88,64.04,3.08,36.88,-0.52
161.04,12.39,76.52,130.34,69.18,93.94,132.2,4.71,23.16,37.25,40.47,15.61,73.0,15.7,32.93,80.07,10.56,52.09,2.59,59.15,7.75,28.45,72.74,4.26,41.82,0.04
195.21,20.03,67.9,139.23,78.88,99.42,178.09,9.31,26.75,51.19,60.57,24.1,80.52,19.49,38.62,93.1,17.44,61.15,5.21,69.01,10.74,34.12,83.67,7.06,53.9,1.56
154.05,9.39,69.91,123.37,70.46,95.02,122.31,3.28,17.7,33.37,39.3,12.34,66.31,15.68,27.93,78.33,8.19,49.42,1.73,52.21,7.14,26.62,68.89,3.0,38.1,-0.31
149.65,7.28,64.8,120.1,89.92,99.04,96.94,2.16,13.2,23.1,37.38,7.74,57.43,12.47,27.46,64.72,6.57,48.72,2.17,47.09,4.68,26.85,58.04,2.27,35.83,-0.69
149.35,7.96,41.85,115.54,99.19,101.23,89.28,1.57,9.52,19.93,40.26,6.46,58.57,13.7,27.58,69.55,7.24,53.77,3.07,44.13,3.91,29.33,56.18,1.78,36.67,-0.53
134.51,6.61,36.85,109.25,82.72,90.28,96.27,1.78,11.04,24.23,45.35,12.14,55.28,11.11,27.82,61.69,5.06,47.77,1.74,45.41,3.77,30.25,60.16,2.34,39.15,-0.25
167.38,12.98,51.64,129.71,82.32,101.03,128.85,3.69,18.52,34.97,44.04,15.78,71.13,17.4,29.27,79.54,8.57,56.13,2.97,51.13,6.73,29.39,72.49,3.52,42.61,0.1
138.9,14.22,85.14,114.45,72.56,91.84,102.34,6.36,15.65,26.22,36.01,8.52,63.23,11.43,30.29,67.43,6.06,46.95,1.42,51.87,5.54,26.64,58.52,1.9,30.74,-1.05
152.29,8.68,54.11,118.08,74.45,93.86,114.01,2.69,14.72,30.02,37.24,7.77,62.58,14.29,28.04,77.48,10.23,47.28,1.7,50.02,5.86,27.12,64.8,3.15,38.29,-0.36
153.17,8.71,43.43,123.26,81.92,96.69,119.11,2.85,15.51,33.99,49.15,16.25,62.43,14.86,27.88,75.74,7.27,52.68,2.25,47.38,5.27,30.46,68.41,2.86,42.82,0.12
138.35,8.07,43.02,117.69,70.57,95.21,100.83,2.27,12.92,26.16,34.23,8.6,61.77,13.09,27.66,68.11,5.4,47.91,1.4,47.73,4.91,30.03,61.02,1.94,32.19,-0.81
154.85,10.34,80.77,118.32,85.52,94.27,116.28,3.93,15.82,30.72,47.06,11.99,68.24,15.73,27.18,79.28,8.43,54.26,2.62,51.66,6.83,25.41,66.73,2.72,40.22,-0.12
135.07,8.0,84.2,111.91,74.08,90.97,98.9,3.83,15.51,25.12,37.94,10.22,58.15,10.69,26.98,63.5,4.85,45.57,1.12,48.39,4.62,27.46,58.25,1.81,33.31,-0.78
173.6,11.58,56.03,138.52,77.87,103.5,140.94,4.16,20.54,41.23,45.78,15.73,70.39,15.85,33.13,84.63,13.4,52.59,2.92,53.7,6.83,33.35,71.52,4.41,43.74,0.26
128.7,6.86,47.12,111.35,81.34,94.42,93.88,1.89,13.6,25.52,46.98,14.6,56.36,10.73,29.1,60.02,4.87,47.83,1.84,45.98,3.81,31.54,56.94,1.98,38.53,-0.34
170.56,14.31,67.71,139.64,68.81,98.7,140.89,5.77,20.2,40.01,37.99,13.16,74.37,16.63,32.24,84.13,12.46,53.45,3.01,61.94,9.31,28.24,71.45,4.18,41.07,-0.05
186.16,20.84,69.01,134.52,81.03,99.46,157.65,8.69,22.0,43.93,51.65,17.61,84.14,18.73,34.23,96.98,14.28,62.66,4.29,66.39,10.53,29.08,80.83,4.78,49.12,0.71
145.97,9.89,80.47,122.66,73.06,95.0,117.33,4.31,18.37,33.45,44.37,15.45,67.02,14.87,27.07,72.23,6.94,49.2,1.78,53.58,7.38,24.58,66.47,2.84,38.49,-0.29
161.78,12.48,46.86,130.25,73.0,95.76,127.44,3.69,17.16,34.99,39.1,12.35,72.55,15.91,31.6,84.49,9.41,55.16,2.56,52.86,6.48,31.6,73.64,3.42,40.56,-0.08
133.86,11.43,77.02,121.36,80.39,104.52,91.31,4.78,15.03,23.62,37.85,9.47,57.07,11.68,26.61,60.77,4.68,46.58,1.47,46.6,4.93,25.5,55.1,1.6,30.21,-1.23
160.7,9.82,71.45,133.62,77.7,103.49,123.73,3.33,17.05,34.67,40.91,12.65,64.98,14.42,29.12,71.92,8.52,50.39,2.44,51.45,6.45,28.97,65.68,3.36,40.02,-0.17
143.38,6.86,64.75,118.18,82.16,98.24,97.49,2.53,13.64,24.35,36.34,7.06,56.86,11.56,28.11,63.82,6.17,46.62,1.64,48.77,5.04,25.63,59.61,2.47,32.87,-1.01
166.69,9.54,52.16,126.1,92.76,104.34,117.81,2.77,16.83,29.62,44.61,13.0,65.02,16.27,27.79,76.9,8.38,55.37,3.04,47.57,5.62,29.12,65.97,2.82,40.9,-0.06
146.73,9.19,41.18,118.69,77.5,94.6,114.19,2.64,14.47,31.22,45.54,14.66,59.93,14.15,27.5,70.75,7.66,47.69,1.74,47.45,5.26,29.12,64.49,3.0,41.56,0.01
128.3,6.13,41.83,109.64,76.4,90.56,89.01,1.55,10.98,21.78,37.8,7.34,54.24,11.48,26.01,63.61,5.07,45.58,1.19,44.72,4.33,27.57,56.79,1.71,31.79,-0.99
141.29,11.55,83.74,114.91,68.46,91.4,118.71,6.06,16.44,34.12,45.89,15.38,63.92,12.58,26.51,73.69,6.94,45.33,1.02,52.08,6.44,26.23,64.54,2.43,38.99,-0.23
168.65,12.35,81.61,121.43,82.9,90.56,123.8,4.59,17.44,29.64,38.08,9.95,71.01,15.01,31.79,79.34,9.98,53.75,2.87,55.31,6.67,28.07,67.11,3.21,38.9,-0.26
133.82,6.35,49.51,115.45,78.47,98.35,93.78,1.69,14.16,24.41,39.05,9.23,54.17,11.21,27.41,60.61,5.25,45.15,1.32,46.23,4.22,27.57,58.19,2.26,35.88,-0.67
140.26,8.13,74.35,119.57,87.03,100.16,92.58,2.87,13.84,23.16,39.53,8.31,60.44,12.86,26.3,68.38,5.39,52.17,2.13,45.88,4.48,27.82,58.17,1.61,32.4,-0.8
148.54,8.56,56.62,128.88,70.38,98.35,108.15,2.49,13.82,29.2,31.25,5.86,60.7,13.95,28.02,73.27,9.85,45.46,1.47,49.78,5.66,26.63,60.84,2.83,35.88,-0.71
163.03,12.15,40.44,129.57,74.37,100.13,127.39,3.36,14.74,34.11,38.34,12.59,65.83,14.36,31.24,74.59,9.08,50.39,2.31,50.52,5.66,33.08,67.36,3.5,40.31,-0.13
132.06,7.48,76.77,119.15,75.03,101.89,94.99,2.61,16.07,26.43,38.07,9.78,59.36,12.77,26.34,63.87,4.84,47.19,1.41,47.61,5.27,25.26,58.49,1.81,31.11,-1.01
134.46,7.63,52.17,113.86,70.88,91.15,108.69,2.58,16.55,30.81,45.91,16.05,59.79,13.06,27.15,69.25,6.02,46.86,1.32,47.8,5.37,29.33,63.4,2.37,39.18,-0.21
170.84,11.77,67.03,126.64,96.59,105.57,120.78,3.56,17.18,31.02,46.74,11.81,68.96,15.66,32.36,78.53,11.35,56.71,4.12,52.1,5.98,30.21,66.83,3.69,43.55,0.25
134.09,6.93,56.21,117.08,70.79,97.44,97.84,1.94,12.74,25.43,35.34,7.94,56.03,11.78,27.16,65.47,7.1,43.41,0.99,47.71,4.82,26.53,58.19,2.4,34.98,-0.82
149.71,9.03,77.77,125.86,74.97,95.29,114.17,3.41,14.95,32.02,39.57,10.62,65.26,14.3,28.42,77.8,9.24,49.72,2.01,52.32,6.52,26.16,64.59,2.78,37.53,-0.4
165.03,12.77,35.06,120.6,85.8,98.22,120.03,3.22,11.64,29.65,40.89,9.32,65.67,16.35,30.02,78.11,11.12,52.96,3.16,48.9,5.7,30.3,65.85,3.52,42.05,0.07
146.66,8.84,79.09,117.09,84.05,92.55,111.17,4.18,17.09,29.73,48.65,14.77,60.66,11.4,28.49,67.37,6.07,49.33,1.88,49.43,4.7,29.53,63.35,2.56,40.5,-0.1
146.91,8.0,47.1,118.65,78.8,93.11,109.39,2.47,14.86,28.49,42.16,11.54,60.56,12.37,29.79,71.81,8.38,48.03,1.85,48.61,4.59,30.53,63.85,3.01,40.15,-0.15
140.2,7.02,64.52,115.38,73.33,88.17,100.83,2.77,12.19,25.46,34.15,5.43,60.1,12.31,26.83,71.9,6.04,47.37,1.26,47.75,4.9,27.82,60.66,1.82,31.54,-0.84
134.19,11.1,77.19,122.95,76.98,103.46,95.32,4.98,14.13,25.51,37.84,9.34,59.59,12.1,27.94,64.42,6.29,47.22,1.77,49.22,5.79,24.38,56.26,1.95,30.26,-1.35
152.38,9.89,80.99,117.15,84.27,94.63,113.67,4.43,17.45,29.73,45.59,12.46,63.11,13.1,28.22,67.65,6.54,50.17,2.19,51.4,5.73,26.59,64.45,2.9,39.91,-0.17
145.55,14.07,80.74,122.61,71.13,93.71,114.49,5.82,20.68,32.99,40.05,12.71,63.72,12.49,31.45,67.77,7.54,47.17,1.78,54.7,6.17,27.88,61.93,2.88,37.84,-0.43
147.43,7.07,32.07,120.04,84.73,99.26,102.44,1.88,9.72,25.68,41.2,11.09,56.18,12.48,27.58,70.3,6.3,50.11,1.9,44.07,3.78,32.28,62.02,2.2,38.05,-0.32
155.88,9.88,72.46,118.76,92.65,97.96,117.0,3.4,19.17,31.58,53.94,16.33,65.86,15.05,28.52,71.37,7.48,54.82,3.17,50.45,6.1,28.25,64.54,2.86,43.67,0.23
168.11,12.52,71.31,129.54,79.68,104.78,129.87,4.46,18.17,34.98,41.38,12.85,75.73,16.64,31.21,88.24,11.02,56.83,3.01,56.58,7.71,27.97,72.72,3.46,40.8,-0.06
155.3,10.9,80.6,127.02,65.15,92.54,129.65,4.63,19.14,37.62,39.59,12.89,65.82,14.46,29.89,78.46,10.91,46.35,1.53,56.13,7.57,27.11,66.88,3.59,39.91,-0.18
137.83,7.36,45.93,110.83,86.91,91.91,90.45,1.7,11.52,21.2,40.35,8.45,58.59,13.2,26.24,65.82,4.99,52.32,2.25,44.13,4.1,29.45,57.09,1.56,34.39,-0.65
154.72,10.46,73.43,131.07,68.32,101.58,119.2,3.64,16.79,32.05,32.72,9.54,70.92,15.57,29.81,82.42,8.89,51.32,1.93,55.6,7.37,26.02,68.11,2.73,34.12,-0.62
151.15,11.94,71.87,127.81,82.86,107.92,110.87,4.29,16.86,29.95,42.57,13.23,64.05,13.64,30.59,72.76,9.38,50.38,2.57,52.37,5.78,27.63,61.52,2.85,39.61,-0.23
143.74,7.89,51.81,122.9,71.98,96.68,103.2,2.24,12.8,27.24,32.38,6.04,60.69,12.67,28.59,73.44,8.46,46.42,1.44,49.74,5.18,27.0,60.9,2.41,33.19,-0.88
129.51,9.5,83.18,108.46,75.81,89.18,96.18,3.52,15.94,25.23,42.69,11.59,59.69,11.68,26.88,65.16,4.54,47.53,1.29,47.01,4.5,29.53,57.98,1.54,34.48,-0.58
161.14,10.67,68.22,129.94,89.85,109.35,110.27,3.19,16.82,27.61,39.06,10.93,70.04,15.12,30.61,80.42,7.93,58.8,3.12,50.06,5.45,30.51,66.07,2.35,37.01,-0.36
149.68,10.53,42.83,114.23,76.89,87.82,116.76,3.03,15.13,30.68,44.6,12.93,65.51,14.91,28.18,71.75,6.85,51.12,2.13,49.59,5.74,29.1,68.63,3.15,41.23,-0.02
136.43,8.77,79.2,121.99,77.76,99.89,99.58,3.86,15.63,27.84,41.01,11.46,59.76,11.99,27.09,66.52,5.62,47.62,1.51,49.85,5.34,24.76,60.4,2.09,34.16,-0.71
125.43,10.21,85.08,115.15,75.14,94.88,88.14,4.2,13.17,22.82,37.98,8.67,57.17,10.67,27.3,62.31,5.0,45.08,1.14,45.67,4.18,29.06,52.7,1.26,30.47,-1.16
192.97,21.62,77.89,131.63,74.31,89.67,166.61,8.86,22.83,42.94,47.55,16.16,77.01,20.23,33.88,92.3,17.95,55.99,4.1,66.34,11.23,29.57,77.15,5.94,47.07,0.72
155.24,11.52,76.19,128.0,75.31,97.87,112.29,4.25,14.8,28.28,32.08,7.36,66.92,15.08,27.95,75.2,8.71,49.35,2.02,54.62,7.16,23.21,62.3,2.55,33.14,-0.89
169.58,8.51,48.27,126.16,93.42,100.03,113.72,2.42,14.69,28.16,38.18,7.32,62.92,14.62,28.31,81.34,9.2,54.16,2.6,46.16,4.57,31.79,65.56,2.59,38.16,-0.3
149.18,16.25,75.05,126.17,73.86,102.01,114.82,6.23,17.68,31.83,39.44,12.97,68.37,14.13,31.22,77.58,8.56,50.77,2.05,56.24,6.89,26.63,64.41,2.56,36.43,-0.47
164.03,13.75,76.16,125.61,85.32,99.47,118.47,4.62,15.93,30.21,39.77,9.38,75.44,15.84,32.51,87.89,9.9,60.03,3.3,55.45,6.83,27.98,69.89,2.77,37.93,-0.28
141.92,8.78,56.62,123.32,78.56,102.89,96.42,2.23,13.5,24.84,33.78,6.82,61.94,13.29,29.53,70.57,7.84,49.33,2.12,49.82,5.14,26.0,59.36,2.28,32.19,-1.03
156.37,12.06,76.3,119.93,97.75,102.57,102.67,3.74,16.14,24.43,44.13,11.49,67.18,14.55,29.38,70.4,6.96,57.27,3.6,50.16,5.46,27.48,60.19,2.16,38.25,-0.33
160.04,11.43,81.22,123.35,81.42,91.25,119.54,4.94,15.91,31.26,40.95,10.08,69.03,14.57,29.18,78.14,8.69,52.95,2.48,54.24,6.76,25.79,67.5,2.99,37.76,-0.35
132.19,8.69,85.86,116.34,74.77,91.08,92.72,3.98,12.43,23.58,35.33,6.59,58.87,11.1,27.91,67.01,6.35,46.05,1.34,48.22,4.82,25.84,55.5,1.64,29.96,-1.22
143.47,8.78,76.56,125.9,68.71,95.53,114.5,3.33,18.65,33.26,40.02,14.19,65.47,13.53,28.38,69.09,6.32,47.38,1.47,52.63,6.28,26.83,66.68,2.95,36.91,-0.44
150.9,8.02,71.46,125.0,85.73,105.75,102.73,2.81,15.78,26.59,37.47,8.78,59.72,12.69,27.84,65.05,6.42,49.02,2.16,48.84,5.13,26.58,59.58,2.42,36.04,-0.63
139.68,8.19,80.11,120.34,68.37,91.44,112.1,3.15,15.51,32.78,41.05,11.2,64.06,13.59,26.78,73.78,7.43,46.07,1.22,51.0,6.31,26.23,64.3,2.56,37.15,-0.42
131.09,9.74,85.63,112.29,81.71,93.67,85.95,4.46,11.81,20.12,36.65,6.37,54.32,10.09,27.46,59.78,5.03,45.18,1.33,44.03,3.92,30.82,51.91,1.35,30.62,-1.31
146.52,8.57,46.61,124.87,75.47,104.26,112.13,2.7,16.11,32.53,42.3,15.92,60.26,13.36,29.31,66.98,7.22,47.05,1.75,48.48,4.98,29.97,64.19,3.25,41.1,-0.05
151.07,15.52,76.03,127.48,68.99,95.89,124.29,6.45,24.64,37.35,42.16,16.77,70.77,14.31,32.23,74.25,8.18,50.48,2.15,59.91,7.54,26.86,69.17,3.48,39.22,-0.23
149.55,13.93,76.7,125.68,71.34,96.45,117.04,5.34,16.93,33.45,38.82,10.93,65.58,14.33,30.87,78.44,11.73,48.65,2.2,55.43,6.5,26.66,64.48,3.41,37.99,-0.43
141.74,10.58,83.35,116.17,82.78,93.71,107.17,4.37,18.25,28.96,48.3,15.45,60.77,12.77,28.51,65.52,6.56,48.96,2.15,51.27,5.76,25.88,62.16,2.83,39.74,-0.2
143.27,10.06,84.83,119.45,63.52,88.08,119.59,4.8,18.08,34.21,39.88,14.06,67.83,12.98,29.69,73.43,7.27,46.31,1.22,56.51,6.93,26.59,67.61,2.97,36.57,-0.45
141.25,7.69,64.66,119.68,73.16,92.77,112.18,2.81,18.2,31.72,44.52,15.4,59.99,12.43,28.46,66.91,6.81,45.96,1.42,49.67,5.22,28.48,64.22,3.08,40.65,-0.1
143.01,8.24,73.24,125.59,73.63,99.79,112.46,2.93,19.07,33.4,43.32,16.11,64.01,13.88,26.95,68.97,5.84,48.75,1.62,49.07,5.68,28.82,64.5,2.46,38.32,-0.29
158.5,9.92,78.66,128.04,70.73,91.74,126.62,4.33,18.94,34.57,38.85,12.28,64.19,14.6,28.11,73.93,9.24,45.86,1.44,53.63,7.11,25.89,65.83,3.41,39.3,-0.26
150.48,8.74,66.93,118.16,95.86,102.75,91.99,2.99,12.23,21.05,37.42,5.5,62.28,12.63,29.26,72.46,7.02,54.68,2.79,46.74,4.2,29.94,58.13,1.74,32.31,-0.85
142.66,10.35,84.41,115.56,77.21,91.3,111.62,4.79,18.37,30.17,46.17,15.56,64.45,12.4,28.72,68.95,6.11,49.31,1.77,52.19,5.74,27.5,64.16,2.52,38.45,-0.28
145.3,12.06,82.97,116.79,82.59,94.08,105.85,4.66,15.94,27.57,43.24,10.51,60.02,12.82,28.03,66.85,7.27,47.68,1.94,51.03,5.8,25.13,60.36,2.65,37.61,-0.48
139.44,7.84,62.74,119.31,76.84,96.66,100.95,2.35,15.92,27.3,38.7,9.78,60.0,12.0,29.57,67.19,7.05,46.91,1.65,48.84,4.58,28.9,59.48,2.38,36.87,-0.53
141.29,11.89,84.09,112.78,77.72,92.13,97.05,5.09,13.31,23.23,33.56,5.96,60.95,11.34,28.64,66.21,5.7,47.12,1.44,48.95,4.87,27.17,56.43,1.63,29.94,-1.13
168.57,11.18,81.28,120.57,81.16,89.16,134.32,5.44,18.88,34.68,46.88,13.84,67.81,15.17,28.17,80.14,9.18,51.13,2.12,52.99,6.94,27.15,69.92,3.3,42.05,0.05
138.22,8.72,73.16,120.67,69.6,95.89,106.22,2.73,15.3,29.39,38.06,11.21,61.05,13.29,28.72,68.39,7.97,45.22,1.39,50.82,5.98,26.93,60.05,2.66,36.67,-0.6
149.6,9.11,74.6,125.65,76.45,100.84,111.5,3.83,17.02,30.17,38.2,11.22,62.55,12.35,28.7,67.96,6.48,47.73,1.63,50.62,5.32,28.73,62.0,2.47,36.44,-0.51
133.28,9.64,85.92,111.13,83.08,91.75,92.79,3.62,17.23,23.71,42.73,11.4,57.63,12.39,26.48,61.58,4.26,49.42,1.8,45.75,4.76,27.01,56.85,1.6,32.6,-0.85
156.08,10.74,73.57,130.24,68.33,99.33,123.28,3.63,15.99,34.95,36.04,10.23,68.33,15.64,29.62,78.88,10.86,49.11,2.12,54.32,7.55,27.55,65.75,3.33,38.47,-0.34
140.96,10.66,83.8,112.82,88.3,93.69,96.98,4.19,15.95,24.74,44.45,10.37,59.22,11.49,27.33,63.65,4.99,50.37,2.06,47.68,4.69,27.64,58.13,1.83,35.36,-0.6
139.31,8.54,75.02,123.42,76.17,103.22,100.3,3.24,15.19,27.59,37.18,8.79,58.82,11.94,27.91,65.08,6.75,45.94,1.54,49.9,5.11,25.67,58.82,2.42,35.09,-0.78
